,business_id,name,address,city,state,postal_code,categories,review_count,stars,latitude,longitude
78,'44YFU284Z3KDEy25QyVoUw','Nee House Chinese Restaurant',"'13843 N Tatum Blvd, Ste 15'",'Phoenix','AZ','85032',"'Chinese, Restaurants'",269,3.5,33.6130201898,-111.9770356779
1236,'amuNjN2yc_0HRgbMH5UlKw','Jade Fine Chinese Dining',"'34455 N 27 Dr, Ste D 160-162'",'Phoenix','AZ','85085',"'Chinese, Beer, Wine & Spirits, Restaurants, Food'",10,2.5,33.7971416,-112.1180452
3289,'fnaDx7UD4MiodQlgYHDwsQ','Dragon Palace','13825 N 32nd St','Phoenix','AZ','85032',"'Restaurants, Chinese'",213,4.0,33.6124852,-112.012193
3486,'5XIIUcmBADuz1h8W0QztVQ','Panda Express','7630 W Lower Buckeye','Phoenix','AZ','85043',"'Restaurants, Chinese, Fast Food'",32,2.5,33.4234423,-112.2249659
3848,'-oOKqZbYDt08zaWWyLZNIw',"""Yan's""","'9140 W Thomas Rd, Ste B103'",'Phoenix','AZ','85037',"'Specialty Food, Food, Restaurants, Ethnic Food, Chinese'",103,4.0,33.4801128,-112.2575424
4844,'PrCIWEj4-88nMg2jSS4u4Q',"'Judith Jones, NMD'","'4206 E Chandler Blvd, Ste 9, The Natural Pain And Fatigue Relief Ctr'",'Phoenix','AZ','85048',"'Cannabis Clinics, Massage Therapy, Medical Cannabis Referrals, Traditional Chinese Medicine, Naturopathic/Holistic, IV Hydration, Acupuncture, Doctors, Pain Management, Health & Medical'",4,5.0,33.305618599999995,-111.9922922
5161,'Ng5MQHIVfUAUzWQeNk28PQ','Life Harmony Wellness','','Phoenix','AZ','85048',"'Traditional Chinese Medicine, Life Coach, Fertility, Acupuncture, Health & Medical, Doctors, Professional Services'",4,5.0,33.3122624,-112.03571370000002
5751,'ueBZ4UoRXdq1eXrlPgnf5A','Canton Wong','2545 N 32nd St','Phoenix','AZ','85008',"'Restaurants, Chinese'",13,2.5,33.476641,-112.012479
6006,'YZQVfJOprZIN6eTc8q_C7w','China Chef Bistro',"'2017 E Cactus Rd, Ste G'",'Phoenix','AZ','85022',"'Soup, Restaurants, Chinese'",10,4.0,33.5962128,-112.0361329
6297,'WWZgzuTn1k7Yn9bJ_Pr0Kg','Bamboo Grille',"'3049 W Agua Fria Fwy, Ste B-3'",'Phoenix','AZ','85027',"'Japanese, Restaurants, Chinese'",33,3.0,33.6664543152,-112.1245269775
6788,'ygKRVzf8aOwqh78pbuRBgg','Panda Express',"'3400 Sky Harbor Blvd, Terminal 4'",'Phoenix','AZ','85034',"'Restaurants, Chinese, Fast Food'",19,2.5,33.437548,-111.999108
7491,'P0k48-YlKuxskB7ys2Ir0A','Rice To You','5132 W McDowell Rd','Phoenix','AZ','85035',"'Chinese, Restaurants'",37,3.5,33.4664341,-112.1696754
9264,'lKFSRJ5tC0OIETgpzTB5kg','Eastern Buffet','1617 E Thomas Rd','Phoenix','AZ','85016',"'Restaurants, Chinese, Buffets'",4,1.5,33.4799005,-112.046838
9411,'ZIdR-IopAtU5PH_mGtUAbw','Ben Brothers Market','1645 E Van Buren St','Phoenix','AZ','85006',"'Restaurants, Chinese, Grocery, Food'",13,3.5,33.4512201,-112.0457432
10315,'pBartPeLXbTAxoOOqp7HZg','Jumbo Buffet','3414 W Southern Ave','Phoenix','AZ','85041',"'Buffets, Chinese, Restaurants'",35,2.0,33.3931495,-112.1317218
11072,'YBIhTjmEH3IEZW4Dr5ReRA',"""Wong's Chinese Cuisine""","'10540 W Indian School Rd, Ste 4'",'Phoenix','AZ','85037',"'Asian Fusion, Restaurants, Cantonese, Chinese'",296,4.5,33.4942321105,-112.28811342799999
12761,'baIT89GubjGJV1mpn82Eeg','Liyuen','1602 S 7th Ave','Phoenix','AZ','85007',"'Chinese, Restaurants'",63,4.5,33.432961,-112.0827313
14729,'5m8RU4PfX75z1b4PawEOMg',"'True Acupuncture Phoenix AZ By David Bell, LAc'","'301 Bethany Home Rd, Ste A-133'",'Phoenix','AZ','85012',"'Acupuncture, Traditional Chinese Medicine, Health & Medical, Massage Therapy'",7,5.0,33.5230352,-112.0687082
14899,'PuJicbFBW8VFAbXI1MS9Tw','The Clinic of Quan Acupuncture & Pain Relief',"'4550 E Bell Rd, Bldg 8'",'Phoenix','AZ','85032',"'Massage Therapy, Traditional Chinese Medicine, Health & Medical, Acupuncture'",19,5.0,33.6414704,-111.9834138
14902,'oacm52KPpEpOBf_M2sARLA','Lucky Wok','8510 N 7th St','Phoenix','AZ','85020',"'Restaurants, Chinese'",24,3.5,33.560998299999994,-112.0656565
15196,'CrM_FY9NIoDWudQYHlO7UQ','Dragon Island Chinese Restaurant','1739 W Glendale Ave','Phoenix','AZ','85021',"'Chinese, Restaurants'",21,4.5,33.538144,-112.096976
16349,'cHdJXLlKNWixBXpDwEGb_A','Chino Bandido',"'15414 N 19th Ave, Ste K'",'Phoenix','AZ','85023',"'Caribbean, Szechuan, Mexican, Restaurants, Chinese, New Mexican Cuisine, Asian Fusion, Latin American'",1600,4.0,33.626831376,-112.1002996485
17063,'2gI7dlktBQXPZiuOW-HWvw',"""Li's Bowl""",'6260 S 35th Ave','Phoenix','AZ','85041',"'Chicken Wings, Chinese, Restaurants, Sushi Bars'",133,3.5,33.3893835,-112.13421909999998
17565,'pdy6EAcJvZks1hKogxOj6Q','New Asian Kitchen','4231 W Bell Rd','Phoenix','AZ','85053',"'Chinese, Restaurants'",152,4.0,33.638766,-112.150357
19425,'bI4emjU96ZvGQRTwxItd2w','Tom Yum Downtown','110 N Central Ave','Phoenix','AZ','85004',"'Ethnic Food, Vietnamese, Food, Restaurants, Specialty Food, Chinese, Imported Food, Thai'",141,3.5,33.449568,-112.0740163
21471,'CXFARDJEpOreI9Xyxzl8Yw','Great China Super Buffet','1501 W Bethany Home Rd','Phoenix','AZ','85015',"'Restaurants, Chinese, Buffets'",14,2.5,33.5239687,-112.0911673
