,User,Business,Rating
0,1.0,257.0,1.0
1,2.0,208.0,1.0
2,3.0,259.0,5.0
3,4.0,22.0,5.0
4,4.0,47.0,4.0
5,5.0,42.0,5.0
6,6.0,47.0,5.0
7,7.0,73.0,4.0
8,8.0,211.0,2.0
9,9.0,12.0,1.0
10,10.0,229.0,1.0
11,11.0,174.0,4.0
12,12.0,220.0,4.0
13,13.0,47.0,4.0
14,13.0,164.0,5.0
15,14.0,25.0,5.0
16,15.0,59.0,1.0
17,16.0,120.0,5.0
18,17.0,256.0,4.0
19,18.0,85.0,5.0
20,19.0,192.0,1.0
21,19.0,198.0,1.0
22,19.0,249.0,1.0
23,20.0,198.0,4.0
24,21.0,33.0,4.0
25,22.0,194.0,5.0
26,23.0,110.0,4.0
27,23.0,174.0,4.0
28,24.0,16.0,4.0
29,25.0,73.0,4.0
30,25.0,155.0,1.0
31,26.0,129.0,4.0
32,26.0,244.0,4.0
33,26.0,249.0,5.0
34,27.0,89.0,5.0
35,28.0,35.0,5.0
36,29.0,38.0,2.0
37,30.0,116.0,4.0
38,31.0,120.0,5.0
39,32.0,208.0,1.0
40,33.0,213.0,4.0
41,34.0,1.0,5.0
42,34.0,3.0,3.0
43,35.0,136.0,5.0
44,36.0,47.0,5.0
45,37.0,22.0,3.0
46,38.0,107.0,5.0
47,39.0,142.0,5.0
48,40.0,22.0,4.0
49,41.0,29.0,1.0
50,42.0,121.0,1.0
51,43.0,153.0,5.0
52,43.0,264.0,2.0
53,44.0,225.0,2.0
54,45.0,29.0,5.0
55,46.0,36.0,5.0
56,47.0,23.0,5.0
57,48.0,112.0,1.0
58,49.0,22.0,5.0
59,50.0,203.0,4.0
60,51.0,210.0,5.0
61,52.0,73.0,4.0
62,53.0,47.0,5.0
63,53.0,206.0,5.0
64,54.0,22.0,5.0
65,55.0,22.0,2.0
66,56.0,73.0,5.0
67,57.0,245.0,3.0
68,58.0,78.0,3.0
69,59.0,103.0,1.0
70,60.0,217.0,3.0
71,61.0,10.0,1.0
72,62.0,35.0,2.0
73,63.0,128.0,1.0
74,64.0,225.0,5.0
75,65.0,249.0,4.0
76,66.0,35.0,1.0
77,67.0,22.0,4.0
78,68.0,234.0,3.0
79,69.0,153.0,2.0
80,70.0,107.0,4.0
81,71.0,177.0,5.0
82,72.0,22.0,5.0
83,73.0,51.0,1.0
84,74.0,150.0,1.0
85,75.0,144.0,5.0
86,76.0,177.0,4.0
87,77.0,234.0,5.0
88,78.0,94.0,1.0
89,79.0,153.0,5.0
90,80.0,29.0,5.0
91,81.0,158.0,5.0
92,82.0,110.0,5.0
93,83.0,47.0,5.0
94,84.0,145.0,4.0
95,85.0,186.0,4.0
96,86.0,120.0,5.0
97,87.0,217.0,4.0
98,88.0,23.0,4.0
99,89.0,26.0,1.0
100,89.0,62.0,4.0
101,89.0,191.0,1.0
102,89.0,207.0,4.0
103,89.0,221.0,4.0
104,89.0,228.0,4.0
105,89.0,249.0,2.0
106,89.0,255.0,1.0
107,90.0,62.0,5.0
108,91.0,89.0,4.0
109,92.0,121.0,1.0
110,93.0,246.0,5.0
111,94.0,32.0,1.0
112,95.0,29.0,4.0
113,95.0,136.0,2.0
114,96.0,65.0,3.0
115,97.0,132.0,5.0
116,98.0,22.0,1.0
117,98.0,128.0,1.0
118,99.0,211.0,5.0
119,100.0,258.0,4.0
120,101.0,241.0,5.0
121,102.0,81.0,5.0
122,103.0,198.0,5.0
123,104.0,49.0,3.0
124,105.0,211.0,2.0
125,106.0,143.0,3.0
126,107.0,36.0,2.0
127,108.0,67.0,5.0
128,109.0,113.0,5.0
129,110.0,1.0,1.0
130,110.0,22.0,5.0
131,110.0,120.0,5.0
132,110.0,153.0,5.0
133,111.0,22.0,4.0
134,112.0,34.0,2.0
135,113.0,110.0,5.0
136,113.0,136.0,3.0
137,113.0,198.0,5.0
138,114.0,124.0,5.0
139,115.0,183.0,5.0
140,116.0,24.0,5.0
141,117.0,22.0,4.0
142,117.0,153.0,4.0
143,118.0,62.0,4.0
144,119.0,22.0,5.0
145,120.0,132.0,1.0
146,121.0,241.0,5.0
147,122.0,1.0,4.0
148,122.0,3.0,3.0
149,122.0,22.0,3.0
150,122.0,47.0,3.0
151,122.0,76.0,3.0
152,122.0,107.0,5.0
153,122.0,110.0,3.0
154,122.0,129.0,3.0
155,122.0,152.0,3.0
156,122.0,174.0,4.0
157,122.0,241.0,4.0
158,123.0,22.0,5.0
159,124.0,49.0,2.0
160,125.0,113.0,5.0
161,126.0,199.0,1.0
162,127.0,54.0,5.0
163,128.0,136.0,5.0
164,129.0,110.0,5.0
165,130.0,167.0,2.0
166,131.0,254.0,5.0
167,132.0,256.0,1.0
168,133.0,44.0,1.0
169,134.0,167.0,1.0
170,135.0,241.0,5.0
171,136.0,1.0,5.0
172,137.0,175.0,5.0
173,138.0,256.0,5.0
174,139.0,142.0,4.0
175,140.0,110.0,3.0
176,140.0,192.0,3.0
177,141.0,20.0,5.0
178,142.0,147.0,5.0
179,143.0,159.0,1.0
180,144.0,16.0,5.0
181,145.0,158.0,2.0
182,146.0,161.0,1.0
183,146.0,249.0,1.0
184,146.0,256.0,1.0
185,147.0,45.0,1.0
186,148.0,174.0,5.0
187,149.0,198.0,2.0
188,150.0,22.0,5.0
189,151.0,56.0,4.0
190,152.0,153.0,5.0
191,153.0,258.0,5.0
192,154.0,111.0,5.0
193,155.0,153.0,3.0
194,156.0,175.0,5.0
195,156.0,221.0,3.0
196,156.0,233.0,5.0
197,157.0,225.0,5.0
198,158.0,153.0,5.0
199,159.0,98.0,5.0
200,160.0,110.0,5.0
201,161.0,154.0,1.0
202,162.0,62.0,1.0
203,163.0,76.0,4.0
204,164.0,22.0,5.0
205,165.0,70.0,2.0
206,166.0,73.0,2.0
207,167.0,153.0,5.0
208,168.0,110.0,5.0
209,168.0,205.0,5.0
210,169.0,42.0,5.0
211,170.0,110.0,5.0
212,171.0,23.0,5.0
213,172.0,121.0,4.0
214,173.0,170.0,4.0
215,174.0,174.0,4.0
216,174.0,236.0,3.0
217,175.0,22.0,4.0
218,176.0,121.0,3.0
219,177.0,16.0,5.0
220,178.0,265.0,4.0
221,179.0,136.0,5.0
222,180.0,22.0,5.0
223,181.0,132.0,5.0
224,182.0,241.0,5.0
225,183.0,146.0,3.0
226,184.0,35.0,5.0
227,185.0,51.0,4.0
228,186.0,213.0,5.0
229,187.0,112.0,1.0
230,188.0,136.0,5.0
231,189.0,241.0,5.0
232,190.0,78.0,4.0
233,191.0,188.0,5.0
234,192.0,56.0,4.0
235,193.0,159.0,2.0
236,194.0,53.0,1.0
237,195.0,70.0,4.0
238,196.0,47.0,5.0
239,197.0,22.0,4.0
240,198.0,16.0,4.0
241,199.0,110.0,5.0
242,199.0,263.0,4.0
243,200.0,111.0,3.0
244,201.0,111.0,4.0
245,202.0,186.0,5.0
246,203.0,153.0,5.0
247,204.0,121.0,4.0
248,205.0,155.0,2.0
249,206.0,198.0,4.0
250,207.0,70.0,2.0
251,208.0,47.0,5.0
252,209.0,246.0,5.0
253,210.0,47.0,1.0
254,211.0,249.0,4.0
255,212.0,129.0,5.0
256,213.0,107.0,5.0
257,213.0,177.0,5.0
258,214.0,249.0,2.0
259,215.0,29.0,1.0
260,216.0,49.0,1.0
261,216.0,257.0,4.0
262,217.0,113.0,3.0
263,218.0,115.0,1.0
264,218.0,256.0,4.0
265,219.0,150.0,1.0
266,220.0,177.0,4.0
267,221.0,241.0,2.0
268,222.0,22.0,5.0
269,223.0,237.0,1.0
270,224.0,267.0,4.0
271,225.0,146.0,2.0
272,226.0,42.0,5.0
273,227.0,110.0,5.0
274,228.0,241.0,1.0
275,229.0,103.0,4.0
276,230.0,22.0,3.0
277,231.0,16.0,5.0
278,232.0,22.0,2.0
279,233.0,104.0,3.0
280,233.0,177.0,3.0
281,234.0,146.0,4.0
282,235.0,32.0,1.0
283,235.0,48.0,1.0
284,236.0,264.0,2.0
285,237.0,110.0,5.0
286,238.0,153.0,4.0
287,238.0,252.0,4.0
288,239.0,22.0,3.0
289,240.0,47.0,5.0
290,241.0,22.0,5.0
291,242.0,121.0,5.0
292,243.0,136.0,5.0
293,244.0,22.0,2.0
294,245.0,50.0,2.0
295,246.0,107.0,5.0
296,247.0,51.0,1.0
297,248.0,136.0,4.0
298,249.0,174.0,5.0
299,250.0,153.0,5.0
300,251.0,206.0,1.0
301,252.0,16.0,3.0
302,253.0,136.0,5.0
303,254.0,117.0,5.0
304,255.0,255.0,1.0
305,256.0,113.0,5.0
306,257.0,103.0,4.0
307,257.0,156.0,5.0
308,258.0,167.0,3.0
309,259.0,34.0,1.0
310,260.0,25.0,5.0
311,261.0,47.0,5.0
312,262.0,111.0,5.0
313,263.0,171.0,2.0
314,264.0,35.0,1.0
315,265.0,211.0,2.0
316,266.0,200.0,5.0
317,267.0,210.0,4.0
318,267.0,266.0,3.0
319,268.0,111.0,1.0
320,269.0,155.0,1.0
321,270.0,12.0,1.0
322,271.0,184.0,4.0
323,272.0,1.0,3.0
324,272.0,22.0,3.0
325,272.0,198.0,3.0
326,273.0,110.0,4.0
327,274.0,171.0,4.0
328,275.0,110.0,5.0
329,276.0,234.0,4.0
330,277.0,81.0,2.0
331,277.0,203.0,1.0
332,277.0,237.0,1.0
333,278.0,104.0,5.0
334,279.0,256.0,5.0
335,280.0,235.0,2.0
336,281.0,266.0,2.0
337,282.0,38.0,5.0
338,283.0,192.0,4.0
